Time[s] vol0[mm^3] vol1[mm^3] flux0[mm^3/s] flux1[mm^3/s]
0 0 165.027 -0 -0
0.0231481 0 165.027 -0 -0
0.0462963 0 165.027 -0 -0
0.0694444 0 165.027 -0 -0
0.0925926 0 165.027 -0 -0
0.115741 0 165.027 -0 -0
0.138889 0 165.027 -0 -0
0.162037 0 165.027 -0 -0
0.185185 0 165.027 -0 -0
0.208333 0 165.027 -0 -0
0.231481 0 165.027 -0 -0
0.25463 0 165.027 -0 -0
0.277778 0 165.027 -0 -0
0.300926 0 165.027 -0 -0
0.324074 0 165.027 -0 -0
0.347222 0 165.027 -0 -0
0.37037 0 165.027 -0 -0
0.393519 0 165.027 -0 -0
0.416667 0 165.027 -0 -0
0.439815 0 165.027 -0 -0
0.462963 0 165.027 -0 -0
0.486111 0 165.027 -0 -0
0.509259 0 165.027 -0 -0
0.532407 0.166966 164.86 7.21293 -0
0.555556 0.456895 164.57 12.5249 -0
0.578704 0.903275 164.124 19.2836 -0
0.601852 1.4786 163.549 24.8541 -0
0.625 2.21932 162.808 31.9992 -0
0.648148 3.12417 161.903 39.0893 -0
0.671296 4.17558 160.852 45.4208 -0
0.694444 5.39081 159.637 52.4982 -0
0.717593 6.76115 158.266 59.1986 -0
0.740741 8.29896 156.728 66.4335 -0
0.763889 9.9818 155.046 72.6987 -0
0.787037 11.8234 153.204 79.5559 -0
0.810185 13.8329 151.194 86.8114 -0
0.833333 15.9878 149.04 93.0904 -0
0.856481 18.2841 146.743 99.2 -0
0.87963 20.7248 144.303 105.44 -0
0.902778 23.3168 141.711 111.973 -0
0.925926 26.051 138.976 118.12 -0
0.949074 28.9178 136.11 123.844 -0
0.972222 31.9294 133.098 130.1 -0
0.99537 35.0618 129.966 135.322 -0
1.01852 38.3324 126.695 141.289 -0
1.04167 41.733 123.294 146.906 -0
1.06481 45.249 119.778 151.893 -0
1.08796 48.8709 116.156 156.464 -0
1.11111 52.601 112.426 161.141 -0
1.13426 56.4413 108.586 165.899 -0
1.15741 60.4123 104.615 171.55 -0
1.18056 64.4564 100.571 174.702 -0
1.2037 68.579 96.4484 178.098 -0
1.22685 72.7758 92.2516 181.3 -0
1.25 77.0475 87.9799 184.54 -0
1.27315 81.3782 83.6492 187.085 -0
1.2963 85.7805 79.2469 190.178 -0
1.31944 90.2366 74.7908 192.505 -0
1.34259 94.7351 70.2922 194.337 -0
1.36574 103.093 61.9342 195.85 165.219
1.38889 111.482 53.5457 193.862 168.521
1.41204 119.902 45.1249 191.627 172.149
1.43519 124.262 40.765 188.35 -0
1.45833 132.759 32.2688 188.386 178.649
1.48148 137.02 28.0069 184.112 -0
1.50463 141.274 23.7532 183.759 -0
1.52778 149.715 15.3119 182.333 182.333
1.55093 153.757 11.2699 174.614 -0
1.57407 157.734 7.29359 171.778 -0
1.59722 161.598 3.42962 166.923 -0
1.62037 165.027 0 160.26 -0
1.64352 165.027 0 -0 -0
1.66667 165.027 0 -0 -0
1.68981 165.027 0 -0 -0
1.71296 165.027 0 -0 -0
1.73611 165.027 0 -0 -0
1.75926 165.027 0 -0 -0
1.78241 165.027 0 -0 -0
1.80556 165.027 0 -0 -0
1.8287 165.027 0 -0 -0
1.85185 165.027 0 -0 -0
1.875 165.027 0 -0 -0
1.89815 165.027 0 -0 -0
1.9213 165.027 0 -0 -0
1.94444 165.027 0 -0 -0
1.96759 165.027 0 -0 -0
1.99074 165.027 0 -0 -0
2.01389 165.027 0 -0 -0
2.03704 165.027 0 -0 -0
2.06019 165.027 0 -0 -0
2.08333 165.027 0 -0 -0
2.10648 165.027 0 -0 -0
2.12963 165.027 0 -0 -0
2.15278 165.027 0 -0 -0
2.17593 165.027 0 -0 -0
2.19907 164.86 0.166966 -0 -7.21293
2.22222 164.57 0.456895 -0 -12.5249
2.24537 164.124 0.903275 -0 -19.2836
2.26852 163.549 1.4786 -0 -24.8541
2.29167 162.808 2.21932 -0 -31.9992
2.31481 161.903 3.12417 -0 -39.0893
2.33796 160.852 4.17558 -0 -45.4208
2.36111 159.637 5.39081 -0 -52.4982
2.38426 158.266 6.76115 -0 -59.1986
2.40741 156.728 8.29896 -0 -66.4335
2.43056 155.046 9.9818 -0 -72.6987
2.4537 153.204 11.8234 -0 -79.5559
2.47685 151.194 13.8329 -0 -86.8114
2.5 149.04 15.9878 -0 -93.0904
2.52315 146.743 18.2841 -0 -99.2
2.5463 144.303 20.7248 -0 -105.44
2.56944 141.711 23.3168 -0 -111.973
2.59259 138.976 26.051 -0 -118.12
2.61574 136.11 28.9178 -0 -123.844
2.63889 133.098 31.9294 -0 -130.1
2.66204 129.966 35.0618 -0 -135.322
2.68519 126.695 38.3324 -0 -141.289
2.70833 123.294 41.733 -0 -146.906
2.73148 119.778 45.249 -0 -151.893
2.75463 116.156 48.8709 -0 -156.464
2.77778 112.426 52.601 -0 -161.141
2.80093 108.586 56.4413 -0 -165.899
2.82407 104.615 60.4123 -0 -171.55
2.84722 100.571 64.4564 -0 -174.702
2.87037 96.4484 68.579 -0 -178.098
2.89352 92.2516 72.7758 -0 -181.3
2.91667 87.9799 77.0475 -0 -184.54
2.93981 83.6492 81.3782 -0 -187.085
2.96296 79.2469 85.7805 -0 -190.178
2.98611 74.7908 90.2366 -0 -192.505
3.00926 70.2922 94.7351 -0 -194.337
3.03241 61.9342 103.093 -165.219 -195.85
3.05556 53.5457 111.482 -168.521 -193.862
3.0787 45.1249 119.902 -172.149 -191.627
3.10185 40.765 124.262 -0 -188.35
3.125 32.2688 132.759 -178.649 -188.386
3.14815 28.0069 137.02 -0 -184.112
3.1713 23.7532 141.274 -0 -183.759
3.19444 15.3119 149.715 -182.333 -182.333
3.21759 11.2699 153.757 -0 -174.614
3.24074 7.29359 157.734 -0 -171.778
3.26389 3.42962 161.598 -0 -166.923
3.28704 0 165.027 -0 -160.26
3.31019 0 165.027 -0 -0
3.33333 0 165.027 -0 -0
3.35648 0 165.027 -0 -0
3.37963 0 165.027 -0 -0
3.40278 0 165.027 -0 -0
3.42593 0 165.027 -0 -0
3.44907 0 165.027 -0 -0
3.47222 0 165.027 -0 -0
3.49537 0 165.027 -0 -0
3.51852 0 165.027 -0 -0
3.54167 0 165.027 -0 -0
3.56481 0 165.027 -0 -0
3.58796 0 165.027 -0 -0
3.61111 0 165.027 -0 -0
3.63426 0 165.027 -0 -0
3.65741 0 165.027 -0 -0
3.68056 0 165.027 -0 -0
3.7037 0 165.027 -0 -0
3.72685 0 165.027 -0 -0
3.75 0 165.027 -0 -0
3.77315 0 165.027 -0 -0
