Time[s] vol0[mm^3] vol1[mm^3] flux0[mm^3/s] flux1[mm^3/s]
0 0 132.022 -0 -0
0.0231481 0 132.022 -0 -0
0.0462963 0 132.022 -0 -0
0.0694444 0 132.022 -0 -0
0.0925926 0 132.022 -0 -0
0.115741 0 132.022 -0 -0
0.138889 0 132.022 -0 -0
0.162037 0 132.022 -0 -0
0.185185 0 132.022 -0 -0
0.208333 0 132.022 -0 -0
0.231481 0 132.022 -0 -0
0.25463 0 132.022 -0 -0
0.277778 0 132.022 -0 -0
0.300926 0 132.022 -0 -0
0.324074 0 132.022 -0 -0
0.347222 0 132.022 -0 -0
0.37037 0 132.022 -0 -0
0.393519 0 132.022 -0 -0
0.416667 0 132.022 -0 -0
0.439815 0 132.022 -0 -0
0.462963 0 132.022 -0 -0
0.486111 0 132.022 -0 -0
0.509259 0 132.022 -0 -0
0.532407 0 132.022 -0 -0
0.555556 0.0532966 131.969 2.30242 -0
0.578704 0.299429 131.722 10.6329 -0
0.601852 0.66777 131.354 15.9123 -0
0.625 1.18815 130.834 22.4803 -0
0.648148 1.86338 130.159 29.1701 -0
0.671296 2.68272 129.339 35.3955 -0
0.694444 3.66551 128.356 42.4565 -0
0.717593 4.80178 127.22 49.0867 -0
0.740741 6.0994 125.923 56.0573 -0
0.763889 7.52999 124.492 61.8015 -0
0.787037 9.13674 122.885 69.4116 -0
0.810185 10.8912 121.131 75.791 -0
0.833333 12.8144 119.208 83.0829 -0
0.856481 14.8651 117.157 88.5932 -0
0.87963 17.0815 114.94 95.7464 -0
0.902778 19.4403 112.582 101.901 -0
0.925926 21.9538 110.068 108.58 -0
0.949074 24.607 107.415 114.62 -0
0.972222 27.3887 104.633 120.169 -0
0.99537 30.2922 101.73 125.431 -0
1.01852 33.3322 98.6897 131.328 -0
1.04167 36.4964 95.5255 136.693 -0
1.06481 39.8099 92.212 143.143 -0
1.08796 43.2348 88.7871 147.956 -0
1.11111 46.7549 85.267 152.071 -0
1.13426 50.3816 81.6403 156.671 -0
1.15741 54.1037 77.9182 160.797 -0
1.18056 57.924 74.0979 165.038 -0
1.2037 61.8224 70.1995 168.408 -0
1.22685 65.8169 66.205 172.563 -0
1.25 69.8852 62.1367 175.75 -0
1.27315 74.0155 58.0064 178.431 -0
1.2963 78.2087 53.8132 181.146 -0
1.31944 82.4535 49.5684 183.376 -0
1.34259 86.7384 45.2835 185.107 -0
1.36574 91.0545 40.9674 186.454 -0
1.38889 95.3985 36.6234 187.663 -0
1.41204 99.7534 32.2685 188.13 -0
1.43519 104.126 27.8959 188.9 -0
1.45833 108.484 23.5374 188.285 -0
1.48148 112.815 19.207 187.072 -0
1.50463 117.103 14.9185 185.267 -0
1.52778 121.343 10.6788 183.155 -0
1.55093 125.498 6.52432 179.471 -0
1.57407 129.548 2.47385 174.981 -0
1.59722 132.022 0 167.102 -0
1.62037 132.022 0 -0 -0
1.64352 132.022 0 -0 -0
1.66667 132.022 0 -0 -0
1.68981 132.022 0 -0 -0
1.71296 132.022 0 -0 -0
1.73611 132.022 0 -0 -0
1.75926 132.022 0 -0 -0
1.78241 132.022 0 -0 -0
1.80556 132.022 0 -0 -0
1.8287 132.022 0 -0 -0
1.85185 132.022 0 -0 -0
1.875 132.022 0 -0 -0
1.89815 132.022 0 -0 -0
1.9213 132.022 0 -0 -0
1.94444 132.022 0 -0 -0
1.96759 132.022 0 -0 -0
1.99074 132.022 0 -0 -0
2.01389 132.022 0 -0 -0
2.03704 132.022 0 -0 -0
2.06019 132.022 0 -0 -0
2.08333 132.022 0 -0 -0
2.10648 132.022 0 -0 -0
2.12963 132.022 0 -0 -0
2.15278 132.022 0 -0 -0
2.17593 132.022 0 -0 -0
2.19907 132.022 0 -0 -0
2.22222 131.969 0.0532966 -0 -2.30242
2.24537 131.722 0.299429 -0 -10.6329
2.26852 131.354 0.66777 -0 -15.9123
2.29167 130.834 1.18815 -0 -22.4803
2.31481 130.159 1.86338 -0 -29.1701
2.33796 129.339 2.68272 -0 -35.3955
2.36111 128.356 3.66551 -0 -42.4565
2.38426 127.22 4.80178 -0 -49.0867
2.40741 125.923 6.0994 -0 -56.0573
2.43056 124.492 7.52999 -0 -61.8015
2.4537 122.885 9.13674 -0 -69.4116
2.47685 121.131 10.8912 -0 -75.791
2.5 119.208 12.8144 -0 -83.0829
2.52315 117.157 14.8651 -0 -88.5932
2.5463 114.94 17.0815 -0 -95.7464
2.56944 112.582 19.4403 -0 -101.901
2.59259 110.068 21.9538 -0 -108.58
2.61574 107.415 24.607 -0 -114.62
2.63889 104.633 27.3887 -0 -120.169
2.66204 101.73 30.2922 -0 -125.431
2.68519 98.6897 33.3322 -0 -131.328
2.70833 95.5255 36.4964 -0 -136.693
2.73148 92.212 39.8099 -0 -143.143
2.75463 88.7871 43.2348 -0 -147.956
2.77778 85.267 46.7549 -0 -152.071
2.80093 81.6403 50.3816 -0 -156.671
2.82407 77.9182 54.1037 -0 -160.797
2.84722 74.0979 57.924 -0 -165.038
2.87037 70.1995 61.8224 -0 -168.408
2.89352 66.205 65.8169 -0 -172.563
2.91667 62.1367 69.8852 -0 -175.75
2.93981 58.0064 74.0155 -0 -178.431
2.96296 53.8132 78.2087 -0 -181.146
2.98611 49.5684 82.4535 -0 -183.376
3.00926 45.2835 86.7384 -0 -185.107
3.03241 40.9674 91.0545 -0 -186.454
3.05556 36.6234 95.3985 -0 -187.663
3.0787 32.2685 99.7534 -0 -188.13
3.10185 27.8959 104.126 -0 -188.9
3.125 23.5374 108.484 -0 -188.285
3.14815 19.207 112.815 -0 -187.072
3.1713 14.9185 117.103 -0 -185.267
3.19444 10.6788 121.343 -0 -183.155
3.21759 6.52432 125.498 -0 -179.471
3.24074 2.47385 129.548 -0 -174.981
3.26389 0 132.022 -0 -167.102
3.28704 0 132.022 -0 -0
3.31019 0 132.022 -0 -0
3.33333 0 132.022 -0 -0
3.35648 0 132.022 -0 -0
3.37963 0 132.022 -0 -0
3.40278 0 132.022 -0 -0
3.42593 0 132.022 -0 -0
3.44907 0 132.022 -0 -0
3.47222 0 132.022 -0 -0
3.49537 0 132.022 -0 -0
3.51852 0 132.022 -0 -0
3.54167 0 132.022 -0 -0
3.56481 0 132.022 -0 -0
3.58796 0 132.022 -0 -0
3.61111 0 132.022 -0 -0
3.63426 0 132.022 -0 -0
3.65741 0 132.022 -0 -0
3.68056 0 132.022 -0 -0
3.7037 0 132.022 -0 -0
3.72685 0 132.022 -0 -0
3.75 0 132.022 -0 -0
3.77315 0 132.022 -0 -0
3.7963 0 132.022 -0 -0
3.81944 0 132.022 -0 -0
3.84259 0 132.022 -0 -0
3.86574 0 132.022 -0 -0
3.88889 0.0532966 131.969 2.30242 -0
3.91204 0.299429 131.722 10.6329 -0
3.93519 0.66777 131.354 15.9123 -0
3.95833 1.18815 130.834 22.4803 -0
3.98148 1.86338 130.159 29.1701 -0
4.00463 2.68272 129.339 35.3955 -0
4.02778 3.66551 128.356 42.4565 -0
4.05093 4.80178 127.22 49.0867 -0
4.07407 6.0994 125.923 56.0573 -0
4.09722 7.52999 124.492 61.8015 -0
4.12037 9.13674 122.885 69.4116 -0
4.14352 10.8912 121.131 75.791 -0
4.16667 12.8144 119.208 83.0829 -0
4.18981 14.8651 117.157 88.5932 -0
