Time[s] vol0[mm^3] vol1[mm^3] flux0[mm^3/s] flux1[mm^3/s]
0 0 165.027 -0 -0
0.0138889 0 165.027 -0 -0
0.0277778 0 165.027 -0 -0
0.0416667 0 165.027 -0 -0
0.0555556 0 165.027 -0 -0
0.0694444 0 165.027 -0 -0
0.0833333 0 165.027 -0 -0
0.0972222 0 165.027 -0 -0
0.111111 0 165.027 -0 -0
0.125 0 165.027 -0 -0
0.138889 0 165.027 -0 -0
0.152778 0 165.027 -0 -0
0.166667 0 165.027 -0 -0
0.180556 0 165.027 -0 -0
0.194444 0 165.027 -0 -0
0.208333 0 165.027 -0 -0
0.222222 0 165.027 -0 -0
0.236111 0 165.027 -0 -0
0.25 0 165.027 -0 -0
0.263889 0 165.027 -0 -0
0.277778 0 165.027 -0 -0
0.291667 0 165.027 -0 -0
0.305556 0 165.027 -0 -0
0.319444 0.192653 164.835 13.871 -0
0.333333 0.521535 164.506 23.6795 -0
0.347222 1.01983 164.008 35.8774 -0
0.361111 1.68234 163.345 47.7007 -0
0.375 2.50969 162.518 59.5692 -0
0.388889 3.52074 161.507 72.7958 -0
0.402778 4.70101 160.326 84.9789 -0
0.416667 6.06382 158.964 98.1225 -0
0.430556 7.57321 157.454 108.676 -0
0.444444 9.28447 155.743 123.211 -0
0.458333 11.1749 153.853 136.109 -0
0.472222 13.2475 151.78 149.232 -0
0.486111 15.4611 149.566 159.375 -0
0.5 17.8637 147.164 172.99 -0
0.513889 20.4279 144.599 184.62 -0
0.527778 23.1554 141.872 196.38 -0
0.541667 26.0498 138.978 208.394 -0
0.555556 29.0934 135.934 219.142 -0
0.569444 32.2918 132.736 230.283 -0
0.583333 35.638 129.389 240.93 -0
0.597222 39.1368 125.891 251.915 -0
0.611111 42.7831 122.244 262.529 -0
0.625 46.5602 118.467 271.954 -0
0.638889 50.4663 114.561 281.238 -0
0.652778 54.4892 110.538 289.65 -0
0.666667 58.648 106.379 299.432 -0
0.680556 62.8937 102.134 305.694 -0
0.694444 67.2699 97.7574 315.088 -0
0.708333 71.7371 93.2903 321.636 -0
0.722222 76.3057 88.7216 328.942 -0
0.736111 80.959 84.0684 335.033 -0
0.75 85.6662 79.3612 338.921 -0
0.763889 90.4561 74.5712 344.875 -0
0.777778 95.3111 69.7163 349.555 -0
0.791667 100.207 64.8201 352.524 -0
0.805556 105.159 59.8685 356.517 -0
0.819444 110.154 54.873 359.678 -0
0.833333 115.168 49.8592 360.993 -0
0.847222 120.201 44.826 362.389 -0
0.861111 125.222 39.8053 361.488 -0
0.875 135.005 30.022 361.379 343.02
0.888889 139.867 25.1599 350.074 -0
0.902778 144.686 20.341 346.962 -0
0.916667 149.441 15.5861 342.352 -0
0.930556 154.116 10.9115 336.568 -0
0.944444 158.692 6.33529 329.49 -0
0.958333 163.093 1.93454 316.854 -0
0.972222 163.093 1.93454 -0 -0
0.986111 163.093 1.93454 -0 -0
1 163.093 1.93454 -0 -0
1.01389 163.093 1.93454 -0 -0
1.02778 163.093 1.93454 -0 -0
1.04167 163.093 1.93454 -0 -0
1.05556 163.093 1.93454 -0 -0
1.06944 163.093 1.93454 -0 -0
1.08333 163.093 1.93454 -0 -0
1.09722 163.093 1.93454 -0 -0
1.11111 163.093 1.93454 -0 -0
1.125 163.093 1.93454 -0 -0
1.13889 163.093 1.93454 -0 -0
1.15278 163.093 1.93454 -0 -0
1.16667 163.093 1.93454 -0 -0
1.18056 163.093 1.93454 -0 -0
1.19444 163.093 1.93454 -0 -0
1.20833 163.093 1.93454 -0 -0
1.22222 163.093 1.93454 -0 -0
1.23611 163.093 1.93454 -0 -0
1.25 163.093 1.93454 -0 -0
1.26389 163.093 1.93454 -0 -0
1.27778 163.093 1.93454 -0 -0
1.29167 163.093 1.93454 -0 -0
1.30556 163.093 1.93454 -0 -0
1.31944 163.093 1.93454 -0 -0
1.33333 163.077 1.95003 -0 -1.11561
1.34722 162.801 2.22641 -0 -19.8994
1.36111 162.294 2.73366 -0 -36.5219
1.375 161.579 3.44885 -0 -51.4939
1.38889 160.662 4.36567 -0 -66.0108
1.40278 159.546 5.48157 -0 -80.3453
1.41667 158.245 6.78226 -0 -93.6495
1.43056 156.744 8.28326 -0 -108.072
1.44444 155.076 9.95118 -0 -120.09
1.45833 153.224 11.803 -0 -133.328
1.47222 151.18 13.8479 -0 -147.232
1.48611 148.968 16.0597 -0 -159.256
1.5 146.594 18.4339 -0 -170.937
1.51389 144.055 20.9728 -0 -182.804
1.52778 141.349 23.6788 -0 -194.831
1.54167 138.476 26.5517 -0 -206.846
1.55556 135.452 29.5756 -0 -217.727
1.56944 132.285 32.7428 -0 -228.038
1.58333 128.949 36.0787 -0 -240.179
1.59722 125.465 39.5621 -0 -250.808
1.61111 121.833 43.1941 -0 -261.507
1.625 118.07 46.9577 -0 -270.978
1.63889 114.176 50.8516 -0 -280.355
1.65278 110.164 54.8635 -0 -288.859
1.66667 106.037 58.9909 -0 -297.17
1.68056 101.8 63.2277 -0 -305.051
1.69444 97.4333 67.5941 -0 -314.383
1.70833 92.9756 72.0518 -0 -320.951
1.72222 88.4158 76.6116 -0 -328.311
1.73611 83.7702 81.2572 -0 -334.479
1.75 79.0703 85.9571 -0 -338.397
1.76389 74.2875 90.7399 -0 -344.362
1.77778 69.4399 95.5875 -0 -349.028
1.79167 64.551 100.476 -0 -351.998
1.80556 59.6067 105.421 -0 -355.991
1.81944 54.618 110.409 -0 -359.187
