Time [ms],tilt_x,tilt_y,tilt_z
0,220.19,9.25,-13.06
29,220.19,9.5,-12.94
57,220.19,9.75,-12.81
85,220.13,10,-12.63
114,220.13,10.19,-12.56
143,220.13,10.38,-12.38
172,220.13,10.63,-12.19
201,220.06,10.88,-12.06
231,220.06,11.06,-11.88
259,220.06,11.31,-11.69
289,220.06,11.5,-11.56
318,220.06,11.75,-11.38
346,220.06,11.94,-11.19
376,220,12.13,-11
405,220.06,12.38,-10.75
435,220,12.56,-10.63
463,220,12.69,-10.5
493,220,12.88,-10.25
522,220,13.06,-10.06
551,220.06,13.25,-9.81
579,220.06,13.44,-9.63
607,220.06,13.63,-9.44
635,220.06,13.81,-9.19
663,220.06,13.94,-9.06
692,220.06,14.13,-8.75
719,220.13,14.25,-8.5
747,220.13,14.44,-8.25
776,220.13,14.63,-8
803,220.13,14.69,-7.88
832,220.19,14.88,-7.56
859,220.19,15,-7.31
888,220.25,15.13,-7.06
916,220.25,15.31,-6.81
943,220.31,15.44,-6.5
972,220.31,15.5,-6.31
1000,220.31,15.69,-6.06
1028,220.38,15.81,-5.75
1056,220.44,15.94,-5.5
1085,220.44,16.06,-5.19
1112,220.5,16.12,-5
1140,220.56,16.25,-4.69
1169,220.56,16.37,-4.38
1196,220.63,16.44,-4.06
1225,220.69,16.56,-3.75
1253,220.69,16.62,-3.56
1281,220.75,16.69,-3.25
1309,220.81,16.81,-2.94
1337,220.88,16.87,-2.56
1365,220.94,17,-2.25
1393,221,17.06,-1.94
1422,221,17.12,-1.69
1449,221.06,17.19,-1.37
1477,221.13,17.31,-1
1506,221.19,17.37,-0.63
1533,221.25,17.5,-0.31
1562,221.25,17.56,-0.06
1590,221.31,17.62,0.19
1617,221.38,17.69,0.56
1644,221.44,17.75,0.94
1670,221.5,17.81,1.19
1698,221.56,17.87,1.56
1725,221.63,17.94,1.94
1752,221.69,17.94,2.13
1779,221.75,18,2.5
1806,221.81,18,2.88
1833,221.88,18.06,3.25
1860,221.88,18.06,3.5
1888,221.94,18.06,3.88
1914,222,18.06,4.25
1941,222.06,18.06,4.44
1968,222.13,18.06,4.81
1995,222.19,18.06,5.13
2023,222.19,18.06,5.38
2049,222.25,18.06,5.69
2076,222.31,18,6.06
2104,222.38,18,6.38
2130,222.44,18,6.63
2158,222.5,17.94,7
2185,222.56,17.94,7.31
2211,222.56,17.94,7.56
2239,222.63,17.81,7.88
2265,222.69,17.81,8.19
2293,222.69,17.75,8.5
2320,222.75,17.75,8.69
2347,222.81,17.69,9
2374,222.88,17.62,9.31
2401,222.88,17.56,9.5
2428,222.94,17.5,9.81
2455,222.94,17.37,10.06
2484,223,17.31,10.38
2511,223,17.25,10.56
2539,223.06,17.19,10.88
2568,223.13,17.06,11.13
2595,223.19,17,11.44
2624,223.19,16.87,11.69
2651,223.25,16.87,11.88
2680,223.25,16.81,12.13
2708,223.31,16.62,12.44
2735,223.31,16.5,12.69
2764,223.38,16.44,12.94
2792,223.38,16.25,13.19
2820,223.44,16.25,13.38
2848,223.44,16.12,13.63
2876,223.44,15.94,13.88
2904,223.5,15.81,14.13
2932,223.5,15.63,14.38
2961,223.5,15.56,14.5
2988,223.5,15.38,14.75
3017,223.5,15.25,15
3045,223.56,15.06,15.19
3072,223.56,14.94,15.44
3101,223.56,14.81,15.56
3129,223.56,14.56,15.75
3157,223.56,14.44,16
3185,223.56,14.25,16.19
3214,223.56,14.06,16.37
3241,223.56,13.94,16.56
3269,223.56,13.69,16.75
3298,223.56,13.5,16.94
3325,223.56,13.31,17.12
3354,223.5,13.13,17.31
3382,223.5,12.88,17.5
3409,223.5,12.75,17.56
3438,223.5,12.56,17.81
3466,223.5,12.31,17.94
3494,223.5,12.06,18.12
3522,223.44,11.88,18.31
3551,223.44,11.69,18.44
3578,223.44,11.44,18.56
3606,223.44,11.19,18.75
3635,223.38,10.94,18.87
3662,223.38,10.75,19.06
3691,223.31,10.56,19.12
3718,223.31,10.25,19.25
3747,223.31,10.06,19.37
3775,223.25,9.75,19.56
3801,223.25,9.5,19.69
3829,223.19,9.31,19.75
3856,223.19,9.06,19.87
3883,223.13,8.75,20
3910,223.13,8.56,20.06
3937,223.06,8.25,20.19
3964,223.06,8,20.31
3991,223,7.69,20.44
4019,223,7.5,20.5
4045,222.94,7.19,20.62
4072,222.88,6.88,20.69
4099,222.88,6.69,20.75
4126,222.81,6.38,20.87
4154,222.75,6.06,20.94
4180,222.75,5.81,21.06
4207,222.69,5.5,21.12
4235,222.63,5.19,21.19
4261,222.56,4.88,21.31
4289,222.56,4.63,21.37
4315,222.5,4.31,21.37
4343,222.44,3.94,21.5
4370,222.44,3.75,21.5
4396,222.38,3.44,21.62
4424,222.31,3.06,21.69
4451,222.25,2.69,21.75
4478,222.25,2.44,21.75
4505,222.19,2.06,21.81
4532,222.13,1.69,21.87
4559,222.06,1.44,21.87
4586,222,1.06,21.94
4613,221.94,0.69,22
4640,221.88,0.44,22
4667,221.88,0.06,22
4694,221.81,-0.25,22
4722,221.75,-0.56,22
4751,221.69,-0.94,22.06
4778,221.63,-1.19,22.06
4806,221.56,-1.56,22.06
4835,221.5,-1.88,22
4862,221.5,-2.25,22
4891,221.44,-2.56,22
4919,221.38,-2.81,22
4947,221.31,-3.13,21.94
4975,221.31,-3.5,21.94
5003,221.25,-3.75,21.87
5031,221.19,-4.13,21.75
5059,221.19,-4.31,21.75
5088,221.13,-4.63,21.62
5115,221.06,-4.94,21.56
5144,221.06,-5.25,21.5
5172,221,-5.56,21.44
5199,220.94,-5.88,21.31
5228,220.94,-6.13,21.25
5256,220.88,-6.38,21.12
5284,220.81,-6.69,21.06
5312,220.81,-7,20.94
5339,220.75,-7.25,20.87
5368,220.75,-7.44,20.75
5396,220.69,-7.75,20.62
5424,220.69,-8.06,20.5
5452,220.63,-8.31,20.37
5481,220.63,-8.63,20.31
5508,220.63,-8.75,20.19
5536,220.56,-9.06,20.06
5565,220.56,-9.31,19.94
5592,220.5,-9.56,19.81
5621,220.5,-9.88,19.69
5649,220.5,-10.06,19.56
5678,220.44,-10.31,19.44
5707,220.44,-10.56,19.31
5736,220.44,-10.88,19.19
5765,220.44,-11.06,19.06
5794,220.38,-11.31,18.87
5824,220.38,-11.56,18.69
5853,220.38,-11.81,18.62
5882,220.38,-12.06,18.37
5911,220.38,-12.31,18.25
5941,220.38,-12.5,18.06
5969,220.38,-12.69,17.94
5998,220.38,-12.88,17.75
6028,220.38,-13.13,17.62
6056,220.38,-13.31,17.44
6086,220.38,-13.5,17.19
6115,220.81,-13.69,17
6144,220.88,-13.94,16.81
6173,221.13,-14.13,16.56
6202,221.13,-14.31,16.37
6231,221.25,-14.5,16.12
6260,221.25,-14.69,15.88
6290,221.25,-14.88,15.69
6318,221.5,-15,15.5
6348,221.5,-15.13,15.31
6377,221.75,-15.31,15.06
6406,221.75,-15.5,14.81
6435,221.94,-15.69,14.56
6464,222.19,-15.81,14.31
6494,222.25,-16,14
6522,222.31,-16.12,13.75
6552,222.38,-16.25,13.5
6581,222.44,-16.44,13.19
6610,222.63,-16.56,12.94
6639,222.63,-16.69,12.63
6668,222.81,-16.81,12.44
6697,222.88,-16.94,12.19
6726,223,-17.06,11.88
6756,223.06,-17.19,11.56
6784,223.19,-17.31,11.25
6814,223.31,-17.44,10.94
6843,223.38,-17.56,10.69
6872,223.5,-17.69,10.31
6901,223.56,-17.75,10.06
6930,223.69,-17.87,9.75
6958,223.69,-17.94,9.5
6986,223.81,-18.06,9.19
7015,224,-18.12,8.88
7042,224.06,-18.25,8.5
7070,224.13,-18.37,8.19
7099,224.19,-18.44,7.88
7126,224.31,-18.5,7.63
7155,224.38,-18.56,7.25
7183,224.44,-18.69,6.94
7211,224.63,-18.75,6.56
7239,224.69,-18.81,6.19
7267,224.75,-18.87,5.94
7295,224.88,-18.94,5.63
7323,224.94,-19,5.25
7352,225,-19.06,4.88
7379,225.06,-19.12,4.5
7408,225.13,-19.19,4.19
7436,225.19,-19.19,3.81
7463,225.25,-19.25,3.44
7492,225.38,-19.31,3.06
7520,225.44,-19.31,2.63
7548,225.5,-19.31,2.25
7576,225.5,-19.31,2
7605,225.56,-19.31,1.63
7632,225.63,-19.31,1.25
7660,225.69,-19.31,0.88
7689,225.75,-19.31,0.56
7716,225.81,-19.31,0.31
7745,225.88,-19.31,0
7773,225.94,-19.25,-0.37
7801,226,-19.25,-0.69
7831,226.06,-19.25,-1
7860,226.13,-19.19,-1.37
7889,226.19,-19.12,-1.69
7918,226.25,-19.06,-2
7948,226.25,-19.06,-2.38
7976,226.31,-19,-2.63
8006,226.38,-18.94,-2.94
8035,226.44,-18.87,-3.25
8063,226.5,-18.81,-3.56
8093,226.5,-18.75,-3.88
8122,226.56,-18.69,-4.19
8151,226.63,-18.62,-4.5
8180,226.69,-18.5,-4.81
8210,226.75,-18.44,-5.06
8238,226.75,-18.31,-5.38
8267,226.75,-18.25,-5.56
8297,226.81,-18.12,-5.88
8325,226.88,-18.06,-6.13
8355,226.88,-17.87,-6.44
8384,226.88,-17.81,-6.75
8414,226.94,-17.69,-7
8442,226.94,-17.56,-7.25
8472,226.94,-17.44,-7.56
8501,226.94,-17.31,-7.81
8529,227,-17.19,-8.06
8559,227,-17,-8.31
8588,227,-16.87,-8.56
8617,227,-16.81,-8.69
8646,227,-16.69,-8.94
8676,227,-16.5,-9.19
8704,227.06,-16.37,-9.44
8733,227.06,-16.19,-9.69
8763,227.06,-16,-9.88
8791,227.06,-15.88,-10.13
8822,227.06,-15.69,-10.38
8852,227.06,-15.5,-10.56
8883,227.06,-15.31,-10.81
8912,227.06,-15.13,-11.06
8943,227.06,-14.94,-11.25
8973,227.06,-14.75,-11.44
9003,227.06,-14.5,-11.69
9033,227,-14.31,-11.88
9063,227,-14.13,-12.06
9093,227,-13.88,-12.25
